,raw_entity
0,1930
1,"January 3, 2000"
2,11/06/2015
3,1932
4,1878
5,1885
6,11/06/2015
7,April 2010
8,1956
9,3 (2002
10,2011
11,2012
12,11/06/2015
13,2015
14,1920
15,1926
16,1952
17,1952
18,2011
19,255–79
20,recent years
21,the second half of the twentieth century
22,the 1970s and
23,1980s
24,April 2014
25,2003
26,2007
27,1983
28,"August 23, 2013"
29,11/02/2015
30,1998
31,2004
32,2009
