,raw_entity
0,2014
1,2016
2,2016
3,that day
4,decades
5,the 1970s
6,the beginning of the sixteenth century
7,2005
8,the night
9,that night
10,hours
11,2014
12,today
13,many years ago
14,twelfth-century
15,the night
16,the day
17,that day
18,the previous night
19,the previous day
